year,environment_authority,region,department,municipality,category,sector,result
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Advanced
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2017,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Ideal
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Basic
2017,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Sustainable agrosystems,Intermediate
2017,CORNARE,Cofee belt and Antioquia,Antioquia,Guarne,Industrial eco-products,Waste recovery and valorization,Intermediate
2017,CORPOCHIVOR,Central,Boyacá,Chinavita,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2017,CSB,Caribbean,Bolívar,El Peñón,Sustainable goods and services from natural resources,Sustainable agrosystems,Basic
2018,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Sustainable agrosystems,Initial
2018,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Restoration businesses,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Industrial eco-products,Other sustainable green goods and services,Intermediate
2018,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Advanced
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Basic
2018,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2018,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Initial
2018,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Basic
2018,CDA,Amazon,Guaviare,El Retorno,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORNARE,Cofee belt and Antioquia,Antioquia,Cocorná,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOAMAZONÍA,Amazon,Caquetá,La Montañita,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Manizales,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOCALDAS,Cofee belt and Antioquia,Caldas,Anserma,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CORPOCHIVOR,Central,Boyacá,Chinavita,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CORPOCHIVOR,Central,Boyacá,Ventaquemada,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CSB,Caribbean,Bolívar,Mompós,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CSB,Caribbean,Bolívar,Santa Rosa del Sur,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CSB,Caribbean,Bolívar,Santa Rosa del Sur,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CSB,Caribbean,Bolívar,Magangué,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CSB,Caribbean,Bolívar,Magangué,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CSB,Caribbean,Bolívar,Mompós,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,CSB,Caribbean,Bolívar,Achí,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CSB,Caribbean,Bolívar,Magangué,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,CSB,Caribbean,Bolívar,Magangué,Sustainable goods and services from natural resources,Sustainable agroindustry,Basic
2018,CSB,Caribbean,Bolívar,Magangué,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CSB,Caribbean,Bolívar,Cantagallo,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CSB,Caribbean,Bolívar,Cicuco,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CSB,Caribbean,Bolívar,Mompós,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,CSB,Caribbean,Bolívar,Cicuco,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,CSB,Caribbean,Bolívar,Mompós,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Industrial eco-products,Sustainable construction,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Industrial eco-products,Sustainable construction,Advanced
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Industrial eco-products,Waste recovery and valorization,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CAR,Central,Cundinamarca,La Calera,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Sustainable goods and services from natural resources,Restoration businesses,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Industrial eco-products,Sustainable construction,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2018,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CAR,Central,Cundinamarca,Albán,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CAR,Central,Cundinamarca,Arbeláez,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Boyacá,Ráquira,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Cajicá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Cajicá,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CAR,Central,Cundinamarca,Cajicá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Cajicá,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CAR,Central,Cundinamarca,Cajicá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Chía,Sustainable goods and services from natural resources,Restoration businesses,Satisfactory
2019,CAR,Central,Cundinamarca,Chía,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Chocontá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,COGUA,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Chía,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CAR,Central,Cundinamarca,Chía,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,FUSAGASUGÁ,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Guaduas,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CAR,Central,Cundinamarca,Fusagasugá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Guatavita,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,La Calera,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,La Calera,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Machetá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,mosquera,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,MOSQUERA,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Nilo,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Pacho,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CAR,Central,Cundinamarca,Pacho,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CAR,Central,Cundinamarca,San Antonio del Tequendama,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Silvania,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CAR,Central,Cundinamarca,Fusagasugá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CAR,Central,Cundinamarca,Sutatausa,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Vianí,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Viotá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CAR,Central,Cundinamarca,Zipacón,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2019,CARDER,Cofee belt and Antioquia,Risaralda,Pueblo Rico,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2019,CARDER,Cofee belt and Antioquia,Risaralda,Pereira,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CARDER,Cofee belt and Antioquia,Risaralda,Dosquebradas,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2019,CDA,Amazon,Vaupés,Mitú,Sustainable goods and services from natural resources,Sustainable agroindustry,Basic
2019,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CDA,Amazon,Vaupés,Taraira,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CDA,Amazon,Guaviare,San José del Guaviare,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDA,Amazon,Guainía,Inírida,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CDMB,Santanderes,Santander,Piedecuesta,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Rionegro,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Charta,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CDMB,Santanderes,Santander,Bucaramanga,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Girón,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CDMB,Santanderes,Santander,Bucaramanga,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CDMB,Santanderes,Santander,Floridablanca,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Bucaramanga,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Floridablanca,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Bucaramanga,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Vetas,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Bucaramanga,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Suratá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Girón,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Floridablanca,Industrial eco-products,Sustainable construction,Satisfactory
2019,CDMB,Santanderes,Santander,El Playón,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Rionegro,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Bucaramanga,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CDMB,Santanderes,Santander,Vetas,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,California,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CDMB,Santanderes,Santander,Tona,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORNARE,Cofee belt and Antioquia,Antioquia,San Rafael,Sustainable goods and services from natural resources,Biocommerce,Ideal
2019,CORNARE,Cofee belt and Antioquia,Antioquia,San Luis,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Colón,Sustainable goods and services from natural resources,Biocommerce,Ideal
2019,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Villagarzón,Sustainable goods and services from natural resources,Biocommerce,Ideal
2019,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Ramiriquí,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Industrial eco-products,Other sustainable green goods and services,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Villagarzón,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Valle del Guamuez,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Sibundoy,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2019,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,San José del Fragua,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2019,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,EPA BARRANQUILLA VERDE,Caribbean,Atlántico,Barranquilla,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Belén de Los Andaquíes,Sustainable goods and services from natural resources,Sustainable agroindustry,Intermediate
2019,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Amazonas,Puerto Nariño,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2019,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Florencia,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Amazonas,Leticia,Sustainable goods and services from natural resources,Biocommerce,Advanced
2019,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Villagarzón,Sustainable goods and services from natural resources,Biocommerce,Ideal
2019,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Milán,Sustainable goods and services from natural resources,Biocommerce,Intermediate
2019,CORPOAMAZONÍA,Amazon,Caquetá,La Montañita,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Orito,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Leguízamo,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Mocoa,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Cartagena del Chairá,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,San José del Fragua,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,San José del Fragua,Sustainable goods and services from natural resources,Restoration businesses,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Solano,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Solano,Sustainable goods and services from natural resources,Restoration businesses,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,Cartagena del Chairá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Caquetá,La Montañita,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Putumayo,Puerto Asís,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOAMAZONÍA,Amazon,Amazonas,Puerto Nariño,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Ciénega,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Ramiriquí,Sustainable goods and services from natural resources,Biocommerce,Ideal
2019,CORPOCHIVOR,Central,Boyacá,Campohermoso,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Tenza,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Santa María,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Turmequé,Sustainable goods and services from natural resources,Sustainable agrosystems,Advanced
2019,CORPOCHIVOR,Central,Boyacá,Ventaquemada,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Turmequé,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Campohermoso,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Ramiriquí,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPOCHIVOR,Central,Boyacá,Jenesano,Sustainable goods and services from natural resources,Sustainable agrosystems,Ideal
2019,CORPOCHIVOR,Central,Boyacá,Campohermoso,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CORPOGUAVIO,Central,Cundinamarca,Guasca,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOGUAVIO,Central,Cundinamarca,Ubalá,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPOGUAVIO,Central,Cundinamarca,Ubalá,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOGUAVIO,Central,Cundinamarca,Gama,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOGUAVIO,Central,Cundinamarca,Gachalá,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPOGUAVIO,Central,Cundinamarca,Guasca,Sustainable goods and services from natural resources,Biocommerce,Satisfactory
2019,CORPOGUAVIO,Central,Cundinamarca,Junín,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPONARIÑO,Pacific,Nariño,Pasto,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CORPONARIÑO,Pacific,Nariño,Pasto,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CORPONARIÑO,Pacific,Nariño,Tangua,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPONARIÑO,Pacific,Nariño,buesaco,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORPONARIÑO,Pacific,Nariño,Ipiales,Industrial eco-products,Waste recovery and valorization,Satisfactory
2019,CORPONARIÑO,Pacific,Nariño,Pasto,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
2019,CORPONARIÑO,Pacific,Nariño,Sandoná,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORTOLIMA,Central,Tolima,Ibagué,Sustainable goods and services from natural resources,Sustainable agroindustry,Satisfactory
2019,CORTOLIMA,Central,Tolima,Cajamarca,Sustainable goods and services from natural resources,Sustainable agroindustry,Advanced
2019,CORTOLIMA,Central,Tolima,San Sebastián de Mariquita,Sustainable goods and services from natural resources,Biocommerce,Advanced
2019,CORTOLIMA,Central,Tolima,Falan,Sustainable goods and services from natural resources,Sustainable agrosystems,Satisfactory
